Source String,Target String,Predicted String
sheershikalo,శీర్షికలో,శీర్షికలో
gajendra,గజేంద్ర,గాజేంద్ర
teranu,తెరను,తెరను
burleson,బుర్లెసన్,బర్లెసన్
malavika,మాళవిక,మలలవక
patishta,పటిష్ట,పాిష్ట
vandutaaru,వండుతారు,వండుతారు
ekamavutondannaru,ఏకమవుతోందన్నారు,ఎకమవుతోందన్నారు
sathyaagraha,సత్యాగ్రహ,సత్యాగ్రహ
azamgarh,ఆజమ్ఘర్,అజంగర్హ్
chaturtha,చతుర్ధ,చతుర్థ
tegi,తెగి,తెగి
kalpistunna,కల్పిస్తున్న,కల్పిస్తున్న
parishuddamaina,పరిశుద్ధమైన,పరిషుద్దమైన
patishtamina,పటిష్ఠమైన,పటిష్టమిన
foam,ఫోమ్,ఫోం్్
dungarpur,దుంగార్పూర్,దుంగార్పూర్
pharmaceuticals,ఫార్మాస్యూటికల్స్,ఫార్మాసుయిటిక్స్
aares,ఏరియాస్,ఆరెస్
chainiyulu,చైనీయులు,చైనియులు
greg,గ్రెగ్,గ్రెగ్
satyaanne,సత్యాన్ని,సత్యాన్నే
pepsii,పెప్సీ,పెప్సీ
vesaaru,వేసారు,వేశారు
granthalayalanu,గ్రంథాలయాలను,గ్రంథలలయనలు
garcia,గార్సియా,గార్సియా
chera,చేరా,చేరా
sabhyudigaa,సభ్యుడిగా,సభ్యుడిగా
praveshamu,ప్రవేశము,ప్రవేశము
kandaraala,కండరాల,కందరాల
kaayadaaniki,కాయడానికి,కాయడానికి
vijayamga,విజయంగా,విజయంగగా
jaanet,జానెట్,జానేత్
chattabaddangaa,చట్టబద్దంగా,చట్టబద్డంగా
samaachaaramistundi,సమాచారమిస్తుంది,సమాచారమిస్తుంది
prajale,ప్రజలే,ప్రజలలే
avathaar,అవతార్,అవతార్
andakundaa,అందకుండా,అందకుండా
osmanabad,ఉస్మానాబాద్,ఆస్మానాడ్
istaarani,ఇస్తారని,ఇస్తారని
ajeej,అజీజ్,అజీజ్
pallakilo,పల్లకిలో,పల్లకకలో
spokane,స్పోకెన్,స్పోకనే
adivinna,అదివిన్న,అడివిన్న
marshall,మార్షల్,మర్షలల్
tonk,తోంక్,టోంక్
choopul,చూపుల్,చూపుల్
ahuja,అహుజ,అహుజా
saripada,సరిపడ,సరిపడ
bakai,బకాయి,బకై
dhaka,ఢాకా,ధకక
russo,రుస్సో,రసస్సో
shonu,షోను,షోను
mose,మోసే,మోస్
viktoriya,విక్టోరియా,విక్తోరియ
kavayithriga,కవయిత్రిగా,కావయితతిిగా
tavvae,తవ్వే,తవ్వే
lake,లేక్,లకకే
muginchukuni,ముగించుకుని,ముగించుకుని
punaruddharinchadaaniki,పునరుద్ధరించడానికి,పునరుద్ధరించడానికి
amreli,అమ్రెలి,అమ్రేలి
mahankmadaan,మహంక్మాదాన్,మహాన్్మాాన్
cukiie,కుకీ,క్కియియ
vuntaayi,వుంటాయి,వుంటాయి
annadaanamu,అన్నదానము,అన్నదానము
aakruthulalo,ఆకృతులలో,ఆకృతులలో
victoria,విక్టోరియా,విక్టరరియా
bhukya,భుక్య,భుక్య
gurraaniki,గుర్రానికి,గుర్రాణికి
ventura,వెంటురా,వెంటూర
bisht,బిష్ట్,బిష్ట్
strong,స్ట్రాంగ్,స్ట్రోంగ్
thaletthi,తలెత్తి,తలెత్తి
abimaanulugaa,అభిమానులుగా,అబిమానులుగా
vivaranhala,వివరణల,వివరణణల
tippaali,తిప్పాలి,తిప్పాలి
terrorism,టెర్రరిజం,టెర్రరరిసం
varnasiloo,వారణాసిలో,వర్ణసిలో
patna,పాట్నా,పట్నా
madurai,మదురై,మదురై
pramaandalo,ప్రమాందలో,ప్రమాండలో
sunnyvale,సన్నీవేల్,సున్నవవలే
raavachchannaaru,రావచ్చన్నారు,రావచ్చన్నారు
dweepa,ద్వీప,ద్వీప
vek,వేక్,వెక్
hazz,హజ్,హజజ్
nowble,నోబుల్,నోబ్లే
charithamu,చరితము,చరితము
gurulaghuvulanu,గురులఘువులను,గురులఘువులను
sukcess,సక్సెస్,సక్సెస్
choopinchaarani,చూపించారని,చూపించారని
buildcon,బిల్డ్కాన్,బిల్ల్క్న్
aarintini,ఆరింటిని,ఆరింటిని
thayaru,తయరు,తయారు
poeshimchaaru,పోషించారు,పోషించారు
waters,వాటర్స్,వాటర్స్
kushalappa,కుషలప్ప,కుషలప్ప
laahiri,లాహిరి,లాహిరి
eesandarbhamgaa,ఈసందర్భంగా,ఈసందర్భంగా
barnstable,బార్న్స్టేబుల్,బార్న్స్టబ్ల్
wylie,వైలీ,వైలీ
dwaraka,ద్వారకా,ద్వారక
juunior,జూనియర్,జూనియోర్
duar,డుఆర్,దురార్
pacchigane,పచ్చిగానే,పచ్చిగానే
klear,క్లియర్,క్లీరర్
priyadarshi,ప్రియదర్శి,ప్రియదర్శి
vattidini,వత్తిడిని,వత్తిడిని
balahinatalanu,బలహీనతలను,బలహహినతలు
dheepaalatho,దీపాలతో,దీపాలతో
kshinatha,క్షీణత,క్షిణతథ
rachanalanu,రచనలను,రచనలను
naaloe,నాలో,నాలో
cheppaarata,చెప్పారట,చెప్పారట
vattidito,వత్తిడితో,వట్తిడితో
bangaaramto,బంగారంతో,బంగారంతో
vijayaaniki,విజయానికి,విజయానికి
aadhaaraala,ఆధారాల,ఆధారాల
saralangaa,సరళంగా,సరలంగా
kutralo,కుట్రలో,కుట్రలో
amruthame,అమృతమే,అమృతమే
migitaa,మిగితా,మిగితా
heidelbergceat,హైడెల్బెర్గ్స్మెంట్,హీడెల్బరరగ్్్్టట్
vahimchinaa,వహించినా,వహించినా
binghamton,బింగ్హామ్టన్,బింగ్ంటనన్
nuziveedu,నూజివీడు,నుజివీడు
arthur,ఆర్థర్,అర్థుర్
ekkinchukuntunnaadu,ఎక్కించుకుంటున్నాడు,ఎక్కించుకుంటున్నాడు
vyarthamayipotundi,వ్యర్థమయిపోతుంది,వ్యర్థమయిపోతుంది
adesinchadam,ఆదేశించడం,అదేశించడం
velhtundagaa,వెళ్తుండగా,వెల్తుండగా
helikaaptar,హెలికాప్టర్,హెలికాప్తరర
paalpadutunnaaru,పాల్పడుతున్నారు,పాల్పడుతున్నారు
daatalu,దాతలు,దాటలు
collierville,కొల్లియర్విల్,కాలీయర్ైైల్ల
shaffer,షేఫర్,షఫఫర్
kampu,కంపు,కంపు
menifee,మెనిఫీ,మెనిఫీ
paatre,పాత్రే,పాత్రే
media,మీడియా,మెడియా
torantoo,టొరంటో,తొరంటూ
atmalo,ఆత్మలో,అత్మలో
hindolaa,హిండోలా,హిందోలా
jose,జోస్,జోస్
vijayala,విజయాల,విజయలల
munagala,మునగాల,మునగల
pooyaaraa,పోయారా,పోయారా
galada,గలదా,గలలా
sanchaari,సంచారి,సంచారి
vishwadhaabhiraama,విశ్వదాభిరామ,విశ్వధాభిరామ
vaallanukunnaaru,వాళ్లనుకున్నారు,వాళ్లనుకున్నారు
crosby,క్రాస్బై,క్రోస్బీ
theerindi,తీరింది,తీరింది
polam,పొలం,పోలం
andaman,అండమాన్,అందమనన్
nichchena,నిచ్చెన,నిచ్చేనా
sehgal,సెహగల్,సెహ్గల్
kadupulooni,కడుపులోని,కడుపులోని
chellimpulanu,చెల్లింపులను,చెల్లింపులను
teramidaki,తెరమీదికి,తెరమిదాకి
konniti,కొన్నిటి,కొన్నిటి
viraalhaalu,విరాళాలు,విరాలాలు
cheerakundaa,చేరకుండా,చీరకుండా
gumpugumpulugaa,గుంపుగుంపులుగా,గుంపుగుంపులుగా
taraalu,తరాలు,తరాలు
ganguly,గంగూలీ,గంగుల్
charithrakaarulaku,చరిత్రకారులకు,చరిత్రకారులకు
angeekarimchina,అంగీకరించిన,అంగీకరించిన
madonnaa,మడోన్నా,మదొన్నా
naelapaina,నేలపైన,నేలపైన
panjab,పంజాబ్,పంజబ్
upayoginchabadutunnadi,ఉపయోగించబడుతున్నది,ఉపయోగించబడుతున్నది
bhavanamloni,భవనంలోని,భావనంలోని
moolikalanu,మూలికలను,మూలికలను
vidisha,విదిష,విడిష
gaayaalayyaayi,గాయాలయ్యాయి,గాయాలయ్యాయి
largo,లార్గో,లార్గో
pallakee,పల్లకీ,పల్లకీ
oomkaaramu,ఓంకారము,ఊంకారము
kuripistunnaayi,కురిపిస్తున్నాయి,కురిపిస్తున్నాయి
mota,మోట,మోటా
manoharamgaa,మనోహరంగా,మనోహరంగా
vikendrikaranatone,వికేంద్రికరణతోనే,వికేంద్రీకరణతోనే
kaavacchu,కావచ్చు,కావచ్చు
heroiin,హీరోయిన్,హెరోయియన్
sonkar,సొంకర్,సొంకర్
bahishkaristunnaaru,బహిష్కరిస్తున్నారు,బహిష్కరిస్తున్నారు
shivachaari,శివచారి,శివచారి
viir,వీర్,వీర్
anubhuthiga,అనుభూతిగా,అనుభుతిగా
bremerton,బ్రీమర్టన్,బ్రెమర్్న్్
hackensack,హాకన్శాక్,హాకాన్స్కా్
jairaapai,జైరాపై,జైరాపై
pithoragarh,పిథౌరాగఢ్,పితోరగర్హ
ankitamai,అంకితమై,అంకితమై
biru,బీరు,బిరు
vyaas,వ్యాస్,వ్యాస్
chandamai,ఛందమై,చండమై
pravesamu,ప్రవేశము,ప్రవేశము
yadav,యాదవ్,యడవవ్
anup,అనూప్,అనుప్
viswaasaanni,విశ్వాసాన్ని,విశ్వాసాన్ని
dhigindhi,దిగింది,ధిగింది
tisukochhesthunnadu,తీసుకొచ్చేస్తున్నాడు,తిసుకొచ్చేస్తున్నాడు
nikorika,నీకోరిక,నికోరిక
antava,అంటావా,అంతవా
mokkubadigaane,మొక్కుబడిగానే,మొక్కుబడిగానే
chendhinadhe,చెందినదే,చెంధినాే
laatoomod,లాటూమోడ్,లాటూమోద్
bharatpur,భరత్పూర్,భారత్పపరర్
patrikaloo,పత్రికలూ,పత్రికలో
kaavinchukunnaadu,కావించుకున్నాడు,కావించుకున్నాడు
veeriddharinee,వీరిద్దరినీ,వీరిద్ధరినీ
punaruddharinchaaru,పునరుద్ధరించారు,పునరుద్ధరించారు
aavidhamgaa,ఆవిధంగా,ఆవిధంగా
phollow,ఫాలో,ఫోల్లో
greene,గ్రీన్,గ్రీనే
aandhraloo,ఆంధ్రలో,ఆంధ్రలో
enteravutunnaaro,ఎంటరవుతున్నారో,ఎంటరరవుతున్నారో
collins,కాలిన్స్,కాలిన్స్
roy,రాయి,రోయ్
nyaayavyavastha,న్యాయవ్యవస్థ,న్యాయవ్యవస్థ
bhagnam,భగ్నం,భగ్నం
kozhikode,కోఝిగోడె,కోహికోడే
moesae,మోసే,మోసే
paerennika,పేరెన్నిక,పేరెన్నిక
mamda,మంద,మంద
saripadani,సరిపడని,సరిపడని
goutamudu,గౌతముడు,గౌతముడు
kulila,కూలీల,కులిల
cheyavaddu,చేయవద్దు,చేయవద్దు
visugu,విసుగు,విసుగు
palatine,పాలటినే,పలలటినే
lifestyle,లైఫ్స్టైల్,లిఫెస్టైల్
bhilai,భిలై,భిలై
desamunaku,దేశమునకు,దేశమునకు
sarasari,సరాసరి,సరసరరి
snow,స్నో,స్నౌవ్
vaddagala,వద్దగల,వద్దగల
taamaraakulo,తామరాకులూ,తామరాకులో
lejarlatogaanee,లేజర్లతోగానీ,లేజర్లతోగానీ
jaaj,జాజ్,జాజ్
siddhaamtamu,సిద్ధాంతము,సిద్ధాంతము
aenugulu,ఏనుగులు,ఏనుగులు
bottutho,బొట్టుతో,బొత్తుతో
sekrinchaaru,సేకరించారు,సేక్రించారు
vishwasaneeyangaa,విశ్వసనీయంగా,విశ్వసనీయంగా
varshamto,వర్షంతో,వర్షంతో
manthrika,మాంత్రిక,మంత్రిక
rudhrulaku,రుద్రులకు,రుధ్రుకు
amruthamee,అమృతమే,అమృతమీ
maanipestolo,మానిపెస్టోలో,మానిపేస్తోలో
shelton,షెల్టన్,షెల్టన్
varghese,వర్ఘెసే,వర్ఘేసే
nelakondani,నెలకొందని,నెలకొండని
lohith,లోహిత్,లోహిత్
hinton,హింటన్,హింటన్
ludivik,లుడివిక్,లుడివిక్
chillara,చిల్లర,చిల్లారా
gilmore,జిల్మోర్,గిల్మోర్
tangirala,తంగిరాల,తంగిరాల
raayitoo,రాయితో,రాయితో
jadhav,జాదవ్,జావవ్
high,హై,హిఘ్
saarimchaadu,సారించాడు,సారించాడు
sruthi,శ్రుతి,శృరితి
chelsea,చెల్సియా,చెల్సేా
balaannivvadamto,బలాన్నివ్వడంతో,బలాన్నివ్వడంతో
bhusawal,భుసావల్,భూసావల్
pramaanhaanni,ప్రమాణాన్ని,ప్రమాణాన్ని
dispur,డిస్పుర్,డిస్పర్
paramaatmaa,పరమాత్మా,పరమాత్మా
tarm,టర్మ్,టార్మ్
guha,గుహ,గుహా
rabbar,రబ్బర్,రబ్బరర్
north,నార్త్,నోర్త్
bismarck,బిస్మర్క్,బిస్మార్క్క్
montgomery,మాంట్గామరీ,మాంట్గోమెరీ
convention,కన్వెన్షన్,కన్వెనషషన
yetara,యేతర,యతరర
pondaevaaru,పొందేవారు,పొందేవారు
darshinchukuntunnaarani,దర్శించుకుంటున్నారని,దర్షించుకుంటున్నారని
taggipotondannaaru,తగ్గిపోతోందన్నారు,తగ్గిపోతోందన్నారు
ray,రాయ్,రాయ్
atri,అట్రి,అత్రి
kamalaa,కమలా,కమలా
vidyaanubandha,విద్యానుబంధ,విద్యానుబంధ
bhagalay,భాగాలే,భాగలయ
kalalanni,కలలన్నీ,కలలన్ని
maatlaadenduku,మాట్లాడేందుకు,మాట్లాడెందుకు
devalayamunu,దేవాలయమును,దేవలలమును
vikendrikarana,వికేంద్రీకరణ,వికేంద్రీకరణ
holt,హోల్ట్,హోల్ట్
muulangaane,మూలంగానే,మూలంగానే
praapthiki,ప్రాప్తికి,ప్రాప్థికి
daadulapai,దాడులపై,దాడులపై
mehrotra,మెహ్రోత్రా,మెహ్రో్్ర
saamraajyamu,సామ్రాజ్యము,సామ్రాజ్యము
barauni,బరౌని,బరానని
adugulona,అడుగులోన,అడుగులోన
sheenu,శీను,శీను
ataher,అటహర్,అటాహర్
kuripinchindi,కురిపించింది,కురిపించింది
dhaariki,దారికి,ధారికి
lokamu,లోకము,లోకము
vyaktulatonu,వ్యక్తులతోను,వ్యక్తులతోను
surfactants,సర్ఫ్యాక్టెంట్స్,సర్ఫాయాకాంట్్్్్
gorrey,గొర్రె,గోర్రీ
saalaakhaddoos,సాలాఖద్దూస్,సాలాఖడ్డోస్
randall,రందల్,రండల్లల
tisukochhinattayindi,తీసుకొచ్చినట్టయింది,తిసుకొచ్చినట్టయింది
suryanarayana,సూర్యనారాయణ,సుర్యనరరాయణ
plantation,ప్లాంటేషన్,ప్లాంటేషన్
pakshaniki,పక్షానికి,పక్షణనికి
sanniveesha,సన్నివేశ,సన్నివేష
puyallup,పూయల్లుప్,పుయలలలుప్
khaidila,ఖైదీల,ఖైదిల
vantakaalu,వంటకాలు,వంటకాలు
taralistunna,తరలిస్తున్న,తరలిస్తున్న
saran,సరాన్,సరణన్
ikeji,ఇకెజి,ఇకేజి
vayuvula,వాయువుల,వయువవల
kolukoleni,కోలుకోలేని,కోలుకోలేని
baahubalini,బాహుబలిని,బాహుబలిని
baagugaa,బాగుగా,బాగుగా
vandutharu,వండుతారు,వండుతారు
hillsboro,హిల్స్బోరో,హిల్స్బోరో
cover,కవర్,కార్
apakeerthi,అపకీర్తి,అపకీర్థి
wolf,వోల్ఫ్,వోల్ఫ్
pakshaaniki,పక్షానికి,పక్షానికి
murti,మూర్తి,ముర్తి
teesukuvastunnaadani,తీసుకువస్తున్నాడని,తీసుకువస్తున్నాడని
merta,మేర్త,మెర్టా
seamec,సీమెక్,సీమెక్
subex,సుబెక్స్,సబబక్్స్
pali,పాలీ,పాలి
saanghika,సాంఘిక,సాంఘిక
dikk,డిక్,డిక్క్
mrutadehaalu,మృతదేహాలు,మృతదేహాలు
plainfield,ప్లైన్ఫీల్డ్,ప్లైనిన్ఫిల్డ్
mosley,మాస్లీ,మోస్లీ
kglu,కేజీలు,క్లులు
kashtapaddaayi,కష్టపడ్డాయి,కష్టపడ్డాయి
toliprema,తొలిప్రేమ,తొలిప్రేమ
zoin,జాయిన్,జోయిన్
thattukune,తట్టుకునే,తట్టుకునే
siggupadutunnattuga,సిగ్గుపడుతున్నట్టుగా,సిగ్గుపడుతున్నట్టుగా
yasukaa,యసుకా,యసుకా
vaagu,వాగు,వాగు
fungal,ఫంగల్,ఫంగల్
ruber,రబ్బర్,రూబర్
gowtam,గౌతమ్,గౌతం
hrudayamlo,హృదయంలో,హృదయంలో
anvayinchevaaru,అన్వయించేవారు,అన్వయించేవారు
rutuvulo,ఋతువులో,రుతువులో
tootaalu,తూటాలు,తూటాలు
thomas,థామస్,థోమాస్
ethadu,ఈతడు,ఎతడు
vaemula,వేముల,వేముల
saritha,సరిత,సరిత
bodhistundi,బోధిస్తుంది,బోధిస్తుంది
moody,మూడీ,మూడ్
mountain,మౌంటెయిన్,మౌంటేన్
asthvyastham,అస్తవ్యస్తం,అస్త్వయస్థం
taragaalanu,తరంగాలను,తరగాలను
ballapie,బల్లపై,బల్లపపీ
praathipadhikagaa,ప్రాతిపదికగా,ప్రాతిపధికగాా
bite,బైట్,బిట్
ravuto,రావుతో,రావుతో
phederation,ఫెడరేషన్,ఫెడెరేషన్
kaavalisina,కావలిసిన,కావలిసిన
austrelia,ఆస్ట్రేలియా,ఆస్ట్రెలియా
arjunini,అర్జునిని,అర్జునిని
mathoo,మేథో,మతూ
buena,బ్యూన,బూయననా
march,మార్చ్,మార్చ్
takeovar,టేకోవర్,తాకోవవర్
nivaasaaniki,నివాసానికి,నివాసానికి
agniloo,అగ్నిలో,అజ్నిలో
pleasant,ప్లెజెంట్,ప్లీసంంట్
mendez,మెండెజ్,మెండేజ్
nadachi,నడచి,నడచి
choopinchalekapovadame,చూపించలేకపోవడమే,చూపించలేకపోవడమే
nimpukoleni,నింపుకోలేని,నింపుకోలేని
vishayamlone,విషయంలోనే,విషయంలోనే
yellaku,ఏళ్లకు,యల్లకకు
bernard,బెర్నార్డ్,బెరనార్డ్
suukthi,సూక్తి,సూక్తి
nimishamloo,నిమిషంలో,నిమిషంలో
pilippi,పిలిప్పి,పిలిప్పి
waykos,వేకొస్,వాకోస్స్
pruthu,పృథు,పృతుతు
gokaldas,గోకల్దాస్,గోకాల్దాస్
lohiyaa,లోహియా,లోహియా
kane,కేన్,కనే
mv,ఎంవీ,మీవీ
nayakudini,నాయకుడిని,నయయకుడిని
cheppe,చెప్పే,చెప్పే
daarilone,దారిలోనే,దారిలోనే
jimy,జిమ్మీ,జిమీ
dasalavarigaa,దశలవారీగా,దశలవరిగా
padaledu,పడలేదు,పడలేదు
malekar,మలేకర్,మలేకరర్
charitraatmaka,చరిత్రాత్మక,చరిత్రాత్మక
vishvaasa,విశ్వాస,విశ్వాస
noblesville,నోబుల్స్విల్,నోబ్లేస్విల్లే
french,ఫ్రెంచ్,ఫ్రెన్చ్
cheinchi,చేయించి,చీనిచి
lemu,లేము,లేము
bhoolookamloo,భూలోకంలో,భూలోకంలో
charchinchaaru,చర్చించారు,చర్చించారు
punarnirmaanaaniki,పునర్నిర్మాణానికి,పునర్నిర్మాణానికి
undenu,ఉండెను,ఉండేను
egiripadutunnaayi,ఎగిరెగిరిపడుతున్నాయి,ఎగిరిపడుతున్నాయి
evochchindi,ఏవొచ్చింది,ఎవొచ్చింది
idelluga,ఐదేళ్లుగా,ఇదెల్లుగా
puvvulathoo,పువ్వులతో,పువ్వులతో
vruthakara,వృత్తాకార,వృతకరర
dadra,దాద్రా,దద్ర
raktamu,రక్తము,రక్తము
ventura,వెంచురా,వెంటూర
tanaviga,తనవిగా,తనవిగా
avutunnaa,అవుతున్నా,అవుతున్నా
madhubani,మధుబని,మధుబాని
saralamaina,సరళమైన,సరలమైన
mart,మార్ట్,మార్ట్
tappukuntunnattu,తప్పుకుంటున్నట్టు,తప్పుకుంటున్నట్టు
aadesinchadam,ఆదేశించడం,ఆదేశించడం
praveenchand,ప్రవీణ్చంద్,ప్రవీంచండ్
austin,ఆస్టిన్,ఆస్టిన్
siddhaantamunu,సిద్ధాంతమును,సిద్ధాంతమును
navambarulo,నవంబరులో,నవంబరులో
poostarlu,పోస్టర్లు,పూస్తర్లు
ghanibhavinnchina,ఘనీభవించిన,ఘనిభవిన్చచిన
bedirinattugaa,బెదిరినట్టుగా,బెదిరినట్టుగా
chikkullo,చిక్కుల్లో,చిక్కుల్లో
iddariloonuu,ఇద్దరిలోనూ,ఇద్దరిలోనూ
sambhaashanhalaloo,సంభాషణలలో,సంభాషణలలో
kottaata,కొట్టాట,కొత్తాత
pindaniki,పిండానికి,పిందనికి
manthrulatho,మంత్రులతో,మంత్రులతో
mukthyala,ముక్త్యాల,ముక్త్యల
paramaathmanu,పరమాత్మను,పరమాత్మను
murrieta,ముర్రియేటా,ముర్రీతే
clicq,క్లిక్,క్లిక్్
buutakapu,బూటకపు,బూటకపు
sandharbhamugaa,సందర్భముగా,సంధర్భముగా
chaduvuthu,చదువుతూ,చదువుతూ
sandhinchukuntunnaaru,సంధించుకుంటున్నారు,సంధించుకుంటున్నారు
vidhyaardhinii,విద్యార్థినీ,విధ్యార్ధినీ
yugamdhar,యుగంధర్,యుగంధర్
bigboss,బిగ్బాస్,బిగ్బోస్స్
kaayadam,కాయడం,కాయడం
bethlehem,బెత్లెహామ్,బెత్లేహే
okadigaa,ఒకడిగా,ఒకడిగా
nammukuntunnaaro,నమ్ముకుంటున్నారో,నమ్ముకుంటున్నారో
aachanta,ఆచంట,ఆచంట
nilabadutunnaaru,నిలబడుతున్నారు,నిలబడుతున్నారు
vibedhaalu,విబేధాలు,విబేధాలు
shaasthravetthalatho,శాస్త్రవేత్తలతో,శాస్త్రవేత్తలతో
kalaraa,కలరా,కలరా
rojulugaa,రోజులుగా,రోజులుగా
palisetti,పలిశెట్టి,పలిసేత్తి
rakshanhagaa,రక్షణగా,రక్షణగా
uparitala,ఉపరితల,ఉపరితల
samarpana,సమర్పణ,సమర్పన
vellinappu,వెళ్లినప్పు,వెళ్లినప్పు
vishvadaanhiraama,విశ్వదాభిరామ,విశ్వదానిరామా
chittashuddhiledaa,చిత్తశుద్ధిలేదా,చిత్తశుద్ధిలేదా
buena,బ్యూనా,బూయననా
manasuni,మనసుని,మనసుని
rekettistaayi,రేకెత్తిస్తాయి,రేకెత్తిస్తాయి
barasat,బరసత్,బరరసత్
sultaanulu,సుల్తానులు,సుల్తానులు
puudika,పూడిక,పూడిక
delta,డెల్టా,డెల్తా
wek,వేక్,వెక్
ruussian,రష్యన్,రూస్సియన్
virani,విరాణి,విరాని
staanlii,స్టాన్లీ,స్టాన్లీ
majeed,మజీద్,మజీద్
punarnirmaana,పునర్నిర్మాణ,పునర్నిర్మాణ
yogulu,యోగులు,యోగులు
danville,డాన్విల్,దన్విల్లే
nirnayinchukunna,నిర్ణయించుకున్న,నిర్ణయించుకున్న
daarr,దార్,డార్ర్
kadalakundaa,కదలకుండా,కదలకుండా
vishnuvu,విష్ణువు,విష్ణువు
chaubey,చౌబే,చౌబేయ
textiles,టెక్స్టైల్స్,టెక్స్టిల్స్
rajyamunu,రాజ్యమును,రాజ్యమును
carpentersville,కార్పెంటర్స్విల్లే,కార్పెంటర్స్విల్ల
stop,స్టాప్,స్టోప్
vahinchaaru,వహించారు,వహించారు
maddox,మడ్డాక్స్,మదడ్క్స్స్
bodhistunnaayani,బోధిస్తున్నాయని,బోధిస్తున్నాయని
nagupame,నాగుపామే,నాగుపమే
rakshinchadaniki,రక్షించడానికి,రక్షించడననికి
troy,ట్రాయ్,ట్రోయ్
timken,టిమ్కెన్,టింకెన్
sarath,శరత్,సరత్
duki,దూకి,దుకి
gabbhilam,గబ్బిలం,గబ్భిలం
itarsi,ఇటార్సి,ఇటర్సిి
kaladii,కలదీ,కలదీ
wendt,వెంట్,వెండ్ట్
vidyaardhini,విద్యార్ధిని,విద్యార్ధిని
rahasyamgaa,రహస్యంగా,రహస్యంగా
teesukovaalanukuntundi,తీసుకోవాలనుకుంటుంది,తీసుకోవాలనుకుంటుంది
ninditula,నిందితుల,నిందితుల
vinipinchukuntunnaaru,వినిపించుకుంటున్నారు,వినిపించుకుంటున్నారు
kalagachestunnaaru,కలగచేస్తున్నారు,కలగచేస్తున్నారు
puraathanamaina,పురాతనమైన,పురాథనమైన
dwaarakaa,ద్వారకా,ద్వారకా
raajamandri,రాజమండ్రి,రాజమంద్రి
yerpadataaniki,ఏర్పడటానికి,ఏర్పడటానికి
niroopinchagalamaa,నిరూపించగలమా,నిరూపించగలమా
erickson,ఎరిక్సన్,ఎరిక్కనన్
yeppatinuncho,ఎప్పటినుంచో,యప్పటినుంచో
khanna,ఖన్నా,ఖన్నా
jyothy,జ్యోతి,జ్యోతి
parihar,పరిహర్,పరరహార
jajj,జాజ్,జజ్జ్
choosukovaalippudu,చూసుకోవాలిప్పుడు,చూసుకోవాలిప్పుడు
bapuji,బాపూజీ,బాపుజి
roling,రోలింగ్,రోలింగ్
etara,ఇతర,ఎటర
tagipotunnadi,తగిపోతున్నది,తగిపోతున్నది
viswasaniiyata,విశ్వసనీయత,విశ్వసాీయత
idukki,ఇడుక్కి,ఇడుక్కి
kondalaraayudike,కొండలరాయుడికే,కొండలరాయుడికే
jaruputhoo,జరుపుతూ,జరుపుతో
sdhalaanni,స్థలాన్ని,స్ధలాన్ని
bhratha,భరత,భ్రత
yajamanyalu,యాజమాన్యాలు,యాజమన్యలు
seeemgaa,సీఎంగా,సీమిగా
miranda,మిరాండా,మిరండ
angikarinchay,అంగీకరించే,అంగికరించాయ్
vithanam,విత్తనం,వితనన
prudhu,పృథు,పృథు
aarthikastomatalenivaaru,ఆర్థికస్తోమతలేనివారు,ఆర్థికస్తోమతలేనివారు
asthralu,అస్త్రాలు,అస్త్రలు
duchukovaalsina,డుచుకోవాల్సిన,దుచుకోవాల్సిన
pradhananga,ప్రధానంగా,ప్రధానంగా
greenfield,గ్రీన్ఫీల్డ్,గ్రీన్ఫైల్డ్
valasi,వలసి,వలసస
estes,ఎస్టెస్,ఎస్టెస్
amaayaka,అమాయక,అమాయక
charchinchadaaniki,చర్చించడానికి,చర్చించడానికి
customs,కస్టమ్స్,కస్టం్్్్్
mangla,మంగ్లా,మంగ్లా
kover,కవర్,కోర్ర
aandhrasarasvati,ఆంధ్రసరస్వతి,ఆంధ్రసరస్వతి
benitez,బెనిటెజ్,బెనిటెజ్
gagan,గగన్,గగన్
junction,జంక్షన్,జన్్షన్
unnaarantae,ఉన్నారంటే,ఉన్నారంటే
marchalani,మార్చాలని,మార్చాలని
evadiete,ఎవడైతే,ఎవాీీటే
darsi,దర్శి,దర్సి
pradarshinchetatuvanti,ప్రదర్శించేటటువంటి,ప్రదర్శించేటటువంటి
waatchmen,వాచ్మెన్,వాట్చ్మెన్
careerlone,కెరీర్లోనే,కారరరలలనే
raajamandrini,రాజమండ్రిని,రాజమంద్రిని
azeez,అజీజ్,అజీజ్
eagan,ఎగన్,ఈగన్
gurtunnanu,గుర్తున్నాను,గుర్తున్నాను
prajalloki,ప్రజల్లోకి,ప్రజల్లోకి
vyaakhyalato,వ్యాఖ్యలతో,వ్యాఖ్యలతో
teeyamani,తీయమని,తీయమని
dveepanni,ద్వీపాన్ని,ద్వీపన్ని
dvepanni,ద్వీపాన్ని,డ్వేపన్ని
mandulanu,మందులను,మందులను
pampinchandi,పంపించండి,పంపించండి
malayalee,మలయాళ,మలయలేే
vibhudhi,విభూది,విభుధి
praveshinchenduku,ప్రవేశించేందుకు,ప్రవేశించేందుకు
gelipisthey,గెలిపిస్తే,గెలిపిస్తేయ్
